question_id,source,generated_question,correct_answer
609,IA_5.pdf_p8,"Is ● Imperfect information games card games , kriegspiel , others ?","● Imperfect information games is card games, kriegspiel, others."
612,IA_5.pdf_p9,Is the game Tic-Tac-Toe?,The game is Tic-Tac-Toe
618,IA_5.pdf_p14,Should how a strategy look like ??,How should a strategy look like?
623,IA_5.pdf_p16,Should the opponent either be the maximising player ( higher score is better ) or minimising player ( lower score is better ) ?,The opponent should either be the maximising player (higher score is better) or minimising player (lower score is better).
630,IA_5.pdf_p18,Would an exhaustive exploration require 1030 states ?,An exhaustive exploration would require 1030 states.
631,IA_5.pdf_p18,Is ● MINIMAX predictable and assumes predictable opponents ?,● MINIMAX is predictable and assumes predictable opponents.
651,IA_5.pdf_p27,Is if A chooses Deny ( -1+-3 ) /2 = -2 If A chooses Confess : ( 0+-2 ) /2=-1?,If A chooses Deny is (-1+-3)/2 = -2 If A chooses Confess: (0+-2)/2=-1
655,IA_5.pdf_p28,Is strategy The decisions made by a player for all possible states in which he has to make a?,Strategy is The decisions made by a player for all possible states in which he has to make a
656,IA_5.pdf_p29,Is Dominant strategy A strategy dominant if it always provides payoffs at least as good as any other strategy ?,Dominant strategy A strategy is dominant if it always provides payoffs at least as good as any other strategy.
657,IA_5.pdf_p29,Is a strategy strictly dominant is the payoffs are always better than any other strategy ?,A strategy is strictly dominant is the payoffs are always better than any other strategy.
661,IA_5.pdf_p32,Is Pareto optimality A strategy Pareto optimal if no change can be made to it in order to improve the players ’ payoff without diminishing the other players payoffs ?,Pareto optimality A strategy is Pareto optimal if no change can be made to it in order to improve the players’ payoff without diminishing the other players payoffs.
662,IA_5.pdf_p32,"Is ( Deny/Deny ) Pareto optimal , as well as ( Deny/Confess ) and ( Confess/Deny ) ?","(Deny/Deny) is Pareto optimal, as well as (Deny/Confess) and (Confess/Deny)."
663,IA_5.pdf_p32,Is ( Confess/Confess ) not optimal as if either player changes decision to improve outcome the outcome for the other player will decrease ?,(Confess/Confess) is not optimal as if either player changes decision to improve outcome the outcome for the other player will decrease.
668,IA_5.pdf_p33,Is that strategy called Nash optimum or equilibrium ?,That strategy is called Nash optimum or equilibrium.
669,IA_5.pdf_p33,Has no player a reason to change an equilibrium as long as anybody follows one ?,No player has a reason to change an equilibrium as long as anybody follows one.
675,IA_5.pdf_p35,Are no there any equilibria ??,NO Are there any equilibria?
679,IA_5.pdf_p37,Have the money game I n money and I want to give it to a group of m players ?,The money game I have n money and I want to give it to a group of m players.
681,IA_5.pdf_p37,Is what the equilibrium ??,What is the equilibrium?
682,IA_5.pdf_p38,Is no What the equilibrium ??,NO What is the equilibrium?
685,IA_5.pdf_p39,Is what the actual equilibria ??,What is the actual equilibria?
688,IA_5.pdf_p40,Is Equilibria reached when both choices are made with the same frequency ?,Equilibria is reached when both choices are made with the same frequency.
689,IA_5.pdf_p41,Are mixed strategies Strategies which not pure are called mixed ?,Mixed strategies Strategies which are not pure are called mixed.
691,IA_5.pdf_p41,"Are mixed strategies usually non-deterministic , making some random decisions ( stochastic or probabilistic ) ?","Mixed strategies are usually non-deterministic, making some random decisions (stochastic or probabilistic)."
692,IA_5.pdf_p41,Can how we compute the equilibria for the goalkeeper game ??,How can we compute the equilibria for the goalkeeper game?
695,IA_5.pdf_p42,Can how much you cooperate with them ??,How much can you cooperate with them?
696,IA_5.pdf_p42,Is Minimax an equilibria for all two player zero-sum game ?,Minimax is an equilibria for all two player zero-sum game.
697,IA_5.pdf_p42,What is A chess program implementing Minimax?,A chess program implementing Minimax is easy to defeat.
699,IA_5.pdf_p43,Is Parrondo 's paradox There at least one winning strategy which can be built using two losing strategies alternatively ?,Parrondo's paradox There is at least one winning strategy which can be built using two losing strategies alternatively.
702,IA_5.pdf_p43,"Have s1 : If you an even sum , add 3 ?","S1: If you have an even sum, add 3."
704,IA_5.pdf_p43,"Have s2 : If you an odd sum , substract 1 ?","S2: If you have an odd sum, substract 1."
706,IA_5.pdf_p43,Is Game add or substract money . Game ends if sum at or below zero ?,Game is add or substract money. Game ends if sum at or below zero.
709,IA_5.pdf_p44,Have ● Strategies to be unpredictable is many use either random steps or select randomly?,● Strategies have to be unpredictable is many use either random steps or select randomly
717,IA_7.pdf_p3,What is Prime¸ste feedback din partea mediului?,Prime¸ste feedback din partea mediului is cˆat de bine a actionat pentru
721,IA_7.pdf_p5,Is Scopul de a determina agentul s˘a actioneze a.ˆı . s˘a-¸si maximizeze?,Scopul is de a determina agentul s˘a actioneze a.ˆı. s˘a-¸si maximizeze
722,IA_7.pdf_p5,"Is Date de antrenare ( S , A , R ) Stare , Actiune , Recompens˘a?","Date de antrenare is (S,A,R) Stare, Actiune, Recompens˘a"
724,IA_7.pdf_p6,Is Aplicatii TD-Gammon?,Aplicatii is TD-Gammon
725,IA_7.pdf_p6,Is intrarea configuratie?,intrarea is configuratie
726,IA_7.pdf_p6,Is iesirea o estimare a valorii pentru acea configuratie?,iesirea is o estimare a valorii pentru acea configuratie
728,IA_7.pdf_p7,Is Aplicatii robotic˘a?,Aplicatii is robotic˘a
729,IA_7.pdf_p7,Is AIBO ˆınvat˘a s˘a mearg˘a ’ 04 Minitaur quadrupedal robot : ˆınvat˘a?,AIBO is ˆınvat˘a s˘a mearg˘a ’04 Minitaur quadrupedal robot: ˆınvat˘a
730,IA_7.pdf_p7,Is https //sites.google.com/view/?,https is //sites.google.com/view/
731,IA_7.pdf_p7,Is https //www.cs.utexas.edu/users/?,https is //www.cs.utexas.edu/users/
734,IA_7.pdf_p8,"Is 2016 a cˆastigatˆımpotriva lui Lee Sedol , juc˘ator de GO profesionist?","2016 is a cˆastigatˆımpotriva lui Lee Sedol, juc˘ator de GO profesionist"
736,IA_7.pdf_p8,"Is 2017 a cˆastigatˆımpotriva lui Ke Jie , cel mai bun juc˘ator de GO?","2017 is a cˆastigatˆımpotriva lui Ke Jie, cel mai bun juc˘ator de GO"
737,IA_7.pdf_p8,Is AlphaGo Zero aˆınv˘atat s˘a joace f˘ar˘a informatii din jocuri ale persoanelor?,AlphaGo Zero is aˆınv˘atat s˘a joace f˘ar˘a informatii din jocuri ale persoanelor
741,IA_7.pdf_p10,Is Agentul primeste o recompens˘a -0.04 pentru st˘arile nonterminale ;?,Agentul primeste o recompens˘a is -0.04 pentru st˘arile nonterminale;
743,IA_7.pdf_p11,"Is Stochastic pentru secventa ( sus , sus , dreapta , dreapta , dreapta ) , ajungemˆın?","Stochastic is pentru secventa (sus, sus, dreapta, dreapta, dreapta), ajungemˆın"
746,IA_7.pdf_p12,Is proces Markov un model matematic pentru a descrie o secvent˘a de?,Proces Markov is un model matematic pentru a descrie o secvent˘a de
747,IA_7.pdf_p12,Is proces Markov de ordinˆıntˆai starea curent˘a s depinde doar de?,Proces Markov de ordinˆıntˆai is starea curent˘a s depinde doar de
753,IA_7.pdf_p13,Is proces de decizie Markov o problem˘a de decizie secvential˘a pentru un?,Proces de decizie Markov is o problem˘a de decizie secvential˘a pentru un
760,IA_7.pdf_p14,"Is St˘ari Cool , Warm , Overheated . Actiuni : Slow , Fast . Dac˘a merge?","St˘ari is Cool, Warm, Overheated. Actiuni: Slow, Fast. Dac˘a merge"
762,IA_7.pdf_p15,Is Exemplu arborele de c˘autare?,Exemplu is arborele de c˘autare
772,IA_7.pdf_p17,Is Utilitate suma recompenselor pentru o secvent˘a de st˘ari ?,Utilitate is suma recompenselor pentru o secvent˘a de st˘ari.
773,IA_7.pdf_p17,Is Calitatea unei politici utilitatea asteptat˘a a secventelor posibile de?,Calitatea unei politici is utilitatea asteptat˘a a secventelor posibile de
774,IA_7.pdf_p17,Is Mediu stochastic putem avea o secvent˘a diferit˘a de st˘ari cˆand?,Mediu stochastic is putem avea o secvent˘a diferit˘a de st˘ari cˆand
776,IA_7.pdf_p18,Is Exemplu politica optim˘a si valorile st˘arilor?,Exemplu is politica optim˘a si valorile st˘arilor
784,IA_7.pdf_p21,Is Exemplu 1 γ = 0.5?,Exemplu 1 is γ = 0.5
785,IA_7.pdf_p21,Is Exemplu 2 Quiz?,Exemplu 2 is Quiz
790,IA_7.pdf_p22,Is ( cid 88 ) ( cid:88 )?,(cid is 88) (cid:88)
793,IA_7.pdf_p23,Is ( cid 34 ) ( cid:35 )?,(cid is 34) (cid:35)
798,IA_7.pdf_p24,Is Exemplu fie γ = 1 si R ( s ) = −0.04 ?,Exemplu is fie γ = 1 si R(s) = −0.04.
800,IA_7.pdf_p25,Is Principiul Maximum Expected Utility alege actiunea care maximizeaz˘a?,Principiul Maximum Expected Utility is alege actiunea care maximizeaz˘a
806,IA_7.pdf_p27,Is Cea mai bun˘a actiune Up ?,Cea mai bun˘a actiune is Up.
812,IA_7.pdf_p31,Is Iterarea valorilor pseudocod?,Iterarea valorilor is pseudocod
817,IA_7.pdf_p33,Is Exemplu Cursa?,Exemplu is Cursa
818,IA_7.pdf_p33,Is Demo https : //courses.grainger.illinois.edu/cs440/fa2018/?,Demo is https://courses.grainger.illinois.edu/cs440/fa2018/
824,IA_7.pdf_p36,"Is 1 . Evaluarea politicii dat˘a o politic˘a π , calculeaz˘a U =Uπi utilit˘at ile?","1. Evaluarea politicii is dat˘a o politic˘a π , calculeaz˘a U =Uπi utilit˘at ile"
825,IA_7.pdf_p36,"Is 2. politicii calculeaz˘a o nou˘a politic˘a π , pe baza?","2. politicii is calculeaz˘a o nou˘a politic˘a π , pe baza"
828,IA_7.pdf_p38,"Is Exemplu π ( 1,1 ) = Up , π ( 1,2 ) = Up?","Exemplu is π (1,1) = Up, π (1,2) = Up"
833,IA_7.pdf_p40,Is Iterarea politicilor pseudocod?,Iterarea politicilor is pseudocod
834,IA_7.pdf_p40,Is Demo https : //cs.stanford.edu/people/karpathy/reinforcejs/gridworld_dp.html?,Demo is https://cs.stanford.edu/people/karpathy/reinforcejs/gridworld_dp.html
840,IA_7.pdf_p41,"Is Idee esantionare pentru a estima functiile utilitate U ( s ) , ∀s ?","Idee is esantionare pentru a estima functiile utilitate U (s),∀s."
842,IA_7.pdf_p41,Is First-visit MC media sumei recompenselor obtinuteˆın urma primelor?,First-visit MC is media sumei recompenselor obtinuteˆın urma primelor
843,IA_7.pdf_p41,Is every-visit MC media sumei recompenselor obtinute pentru toate?,Every-visit MC is media sumei recompenselor obtinute pentru toate
847,IA_7.pdf_p42,Is Monte Carlo astept˘am pˆan˘a la terminarea episodului pentru a calcula?,Monte Carlo is astept˘am pˆan˘a la terminarea episodului pentru a calcula
870,IA_6.pdf_p8,Is Scop estimarea parametrilor care minimizeaz˘a eroarea ( diferentaˆıntre?,Scop is estimarea parametrilor care minimizeaz˘a eroarea (diferentaˆıntre
871,IA_6.pdf_p8,Is Scop obtinerea de informatii?,Scop is obtinerea de informatii
874,IA_6.pdf_p9,Is Aplicatii Clasificare?,Aplicatii is Clasificare
875,IA_6.pdf_p9,Is Exemplu identificarea speciei din care face parte o floare de iris?,Exemplu is identificarea speciei din care face parte o floare de iris
876,IA_6.pdf_p9,Is atribute lungime si l˘atime sepale/petale?,atribute is lungime si l˘atime sepale/petale
877,IA_6.pdf_p9,"Is clase Iris versicolor , Iris setosa , Iris virginica?","clase is Iris versicolor, Iris setosa, Iris virginica"
879,IA_6.pdf_p10,Is Aplicatii Regresie?,Aplicatii is Regresie
880,IA_6.pdf_p10,What is Diferenta dintre clasificare si regresie?,Diferenta dintre clasificare si regresie is tipul iesirii (discret vs. continuu)
886,IA_6.pdf_p12,Is Intrare un vector de valori reale x?,Intrare is un vector de valori reale x
891,IA_6.pdf_p13,Is ( cid 40 )?,(cid is 40)
892,IA_6.pdf_p13,"Is ˆinv˘atarea unui perceptron alegerea ponderilor w , ... , w ?","ˆInv˘atarea unui perceptron is alegerea ponderilor w ,...,w ."
894,IA_6.pdf_p14,Is Notatie simplificat˘a o intrare constant˘a x = 1 ?,Notatie simplificat˘a is o intrare constant˘a x = 1.
895,IA_6.pdf_p14,Is ( cid 80 ) n →− →−?,(cid is 80)n →− →−
896,IA_6.pdf_p14,Is Perceptron un neuron artificial care utilizeaz˘a functia de activare?,Perceptron is un neuron artificial care utilizeaz˘a functia de activare
898,IA_6.pdf_p15,Is Scopul s˘a clasific˘am intr˘arileˆın 2 clase?,Scopul is s˘a clasific˘am intr˘arileˆın 2 clase
899,IA_6.pdf_p15,Is Perceptronul un hiperplan careˆımparte spatiul vectorilor de intrare?,Perceptronul is un hiperplan careˆımparte spatiul vectorilor de intrare
900,IA_6.pdf_p15,Is Ecuatia hiperplanului w · x = 0?,Ecuatia hiperplanului is w · x = 0
914,IA_6.pdf_p19,Is ponderilor identific˘a vectorul de ponderi a.i . perceptronul?,ponderilor is identific˘a vectorul de ponderi a.i. perceptronul
926,IA_6.pdf_p24,Is Regula delta utilizeaz˘a Gradient descent pentru a c˘autaˆın spatiul?,Regula delta is utilizeaz˘a Gradient descent pentru a c˘autaˆın spatiul
927,IA_6.pdf_p24,Is 1 ( cid 88 )?,1 (cid is 88)
933,IA_6.pdf_p25,Is gradient descent modific˘aˆın mod repetat vectorul de ponderi . La fiecare?,Gradient descent is modific˘aˆın mod repetat vectorul de ponderi. La fiecare
940,IA_6.pdf_p27,Is ( cid 88 ) δ?,(cid is 88) δ
945,IA_6.pdf_p29,"Is stochastic gradient descent actualizarea ponderilor incremental , calculˆand?","Stochastic gradient descent is actualizarea ponderilor incremental, calculˆand"
953,IA_6.pdf_p32,Is Exemplu Retea antrenat˘a s˘a recunoasc˘aˆıntre 10 vocale ( ” h d ” ) ?,Exemplu is Retea antrenat˘a s˘a recunoasc˘aˆıntre 10 vocale (”h d”).
956,IA_6.pdf_p34,Is ( cid 40 ) ( cid:40 )?,(cid is 40) (cid:40)
958,IA_6.pdf_p35,Is Exemplu retea neuronal˘a cu functia de activare sigmoid?,Exemplu is retea neuronal˘a cu functia de activare sigmoid
966,IA_6.pdf_p38,Is →− 1 ( cid 88 ) ( cid:88 )?,→− 1 (cid is 88) (cid:88)
969,IA_6.pdf_p40,"Is Initializarea alege num˘arul de intr˘ari , unit˘ati ascunse si de iesire ;?","Initializarea is alege num˘arul de intr˘ari, unit˘ati ascunse si de iesire;"
975,IA_6.pdf_p43,Is →− ( cid 88 )?,→− (cid is 88)
986,IA_6.pdf_p50,Is Exemplu din Artificial Intelligence . A Guide to Intelligent Systems ?,Exemplu is din Artificial Intelligence. A Guide to Intelligent Systems.
988,IA_6.pdf_p51,Is Convergenta algoritmul Backpropagation converge c˘atre un minim?,Convergenta is algoritmul Backpropagation converge c˘atre un minim
989,IA_6.pdf_p51,"Is batch learning ponderile se actualizeaz˘a o singur˘a dat˘a , dup˘a?","batch learning is ponderile se actualizeaz˘a o singur˘a dat˘a, dup˘a"
990,IA_6.pdf_p51,Is Avantaj rezultatele antren˘arii nu mai depind de ordineaˆın care sunt?,Avantaj is rezultatele antren˘arii nu mai depind de ordineaˆın care sunt
995,IA_6.pdf_p53,Is weight decay include o penalitateˆın functia de eroare?,weight decay is include o penalitateˆın functia de eroare
997,IA_6.pdf_p54,"Is dropout ˆın timpul antren˘arii , set˘am aleatoriu functiile de activare la 0?","Dropout is ˆın timpul antren˘arii, set˘am aleatoriu functiile de activare la 0"
998,IA_6.pdf_p54,Is early stopping oprim antrenarea?,Early stopping is oprim antrenarea
1000,IA_6.pdf_p55,Is Cross entropy pentru modele care returneaz˘a o probabilitate?,Cross entropy is pentru modele care returneaz˘a o probabilitate
1001,IA_6.pdf_p55,Is Mean squared error pentru regresie?,Mean squared error is pentru regresie
1003,IA_6.pdf_p56,Is Proiectarea retelelor neuronale Etape?,Proiectarea retelelor neuronale is Etape
1004,IA_6.pdf_p56,"Is Arhitectura num˘ar de nivele si de unit˘ati pe fiecare nivel , topologie?","Arhitectura is num˘ar de nivele si de unit˘ati pe fiecare nivel, topologie"
1005,IA_6.pdf_p56,Is Arhitecturi unidirectionale vs. recurente?,Arhitecturi is unidirectionale vs. recurente
1006,IA_6.pdf_p56,Is Antrenare determinarea valorilor ponderilor?,Antrenare is determinarea valorilor ponderilor
1007,IA_6.pdf_p56,Is Validare testarea modelului pe date de test?,Validare is testarea modelului pe date de test
1008,IA_6.pdf_p56,Is https //playground.tensorflow.org/?,https is //playground.tensorflow.org/
1016,IA_2.pdf_p1,Is week 2 models and uninformed search strategies?,Week 2 is models and uninformed search strategies
1020,IA_2.pdf_p4,Is which larger ??,Which is larger?
1022,IA_2.pdf_p4,Should a solution produce the correct answer for all possible instances?,A solution should produce the correct answer for all possible instances
1023,IA_2.pdf_p4,"Is Problem We have two numbers , A and B . Which is?","Problem is We have two numbers, A and B. Which is"
1024,IA_2.pdf_p4,"Is instance A= ? , B= ??","Instance is A=?, B=?"
1028,IA_2.pdf_p5,Is validating a NP solution a P problem ?,Validating a NP solution is a P problem.
1034,IA_2.pdf_p6,Can the rest be solved by a computer ?,The rest can be solved by a computer.
1035,IA_2.pdf_p6,Is solvable NP-hard problems QSAT : is a logical proposition using?,Solvable NP-hard problems is QSAT: is a logical proposition using
1036,IA_2.pdf_p6,Is undecideable NP-hard problems Turing Halting problem : given an?,Undecideable NP-hard problems is Turing Halting problem: given an
1040,IA_2.pdf_p7,"Had “ If I only one hour to save the world , I would spend fifty-five minutes defining the problem , and only five minutes finding the solution. ” A.Einstein?","“If I had only one hour to save the world, I would spend fifty-five minutes defining the problem, and only five minutes finding the solution.” A.Einstein"
1043,IA_2.pdf_p10,Have generalized Hanoi Towers We n towers with m distinct sized pieces placed on one of the towers ?,Generalized Hanoi Towers We have n towers with m distinct sized pieces placed on one of the towers.
1046,IA_2.pdf_p11,Is state all data required to?,State is all data required to
1051,IA_2.pdf_p15,Has there to be at least one initial state ?,There has to be at least one initial state.
1053,IA_2.pdf_p16,Has there to be at least one final state ?,There has to be at least one final state.
1055,IA_2.pdf_p17,Is Problem space all possible states?,Problem space is all possible states
1056,IA_2.pdf_p18,Is what the problem now ??,What is the problem now?
1057,IA_2.pdf_p18,Is how difficult it to solve ??,How difficult is it to solve?
1058,IA_2.pdf_p18,Has Problem space m dimensions Final state How many states are within the space ??,Problem space has m dimensions Final state How many states are within the space?
1059,IA_2.pdf_p18,Can how you move within the problem space ??,How can you move within the problem space?
1065,IA_2.pdf_p20,Is no smaller piece placed atop piece k 2 ?,No smaller piece is placed atop piece k 2.
1071,IA_2.pdf_p23,Has ● to memorise each generated state : very costly ?,● Has to memorise each generated state: very costly.
1074,IA_2.pdf_p23,Is ● Uniform cost if options have different?,● Uniform cost is if options have different
1077,IA_2.pdf_p24,Is ● IDS Explore only up to an increasing?,● IDS is Explore only up to an increasing
1080,IA_2.pdf_p25,"Can ● Backtracking avoid loops WITHOUT storing visited states ● Backtracking can prune invalid branches earlier , if the order and selection of neighbours is optimal?","● Backtracking can avoid loops WITHOUT storing visited states ● Backtracking can prune invalid branches earlier, if the order and selection of neighbours is optimal"
